HCPCS_CD,HCPCS_CD_DESC
0019A,"ADMINISTRATION OF CORONAVIRUS VACCINE 2, RESERVED"
0019M,ANALYSIS OF PROTEIN BIOMARKERS IN PLASMA WITH RESULTS REPORTED AS LIKELIHOOD FOR A CORONARY EVENT IN HIGH-RISK POPULATIONS
0019T,LOW ENERGY SHOCK WAVE THERAPY OF MUSCULOSKELETAL SYSTEM
0019U,RNA GENE ANALYSIS OF TUMOR TISSUE
0020A,"ADMINISTRATION OF CORONAVIRUS VACCINE 3, RESERVED"
0020M,ANALYSIS OF DNA FROM TUMOR TISSUE WITH RESULTS REPORTED AS PROBABILITY OF MATCHING A REFERENCE TUMOR SUBCLASS IN BRAIN AND SPINAL CORD CANCER
0020U,TESTING FOR PRESENCE OF DRUG IN URINE WITH CONFIRMATION OF POSITIVE RESULTS AND SPECIMEN VERIFICATION
00210,ANESTHESIA FOR OTHER PROCEDURE ON BRAIN
00211,ANESTHESIA FOR REMOVAL OF BLOOD COLLECTION FROM BRAIN
00212,ANESTHESIA FOR REMOVAL OF FLUID FROM BRAIN
00214,ANESTHESIA FOR PROCEDURE TO CREATE HOLES IN SKULL INCLUDING X-RAY IMAGING
00215,ANESTHESIA FOR PROCEDURE TO REPAIR SKULL OR SKULL FRACTURE
00216,ANESTHESIA FOR PROCEDURE ON BLOOD VESSELS IN BRAIN
00218,ANESTHESIA FOR PROCEDURE ON BRAIN WHILE SITTING UP
0021A,"INTRAMUSCULAR ADMINISTRATION OF SINGLE SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2 (COVID-19) VACCINE, DNA, SPIKE PROTEIN, CHIMPANZEE ADENOVIRUS OXFORD 1 (CHADOX1) VECTOR, PRESERVATIVE FREE, 5X1010 VIRAL PARTICLES/0.5ML DOSAGE; FIRST DOSE"
0021U,DETECTION OF 8 AUTOANTIBODIES IN PROSTATE TISSUE
00220,ANESTHESIA FOR PROCEDURE TO DRAIN BRAIN AND SPINAL CORD FLUID
00222,ANESTHESIA FOR PROCEDURE ON NERVE IN BRAIN
0022A,"INTRAMUSCULAR ADMINISTRATION OF SINGLE SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2 (COVID-19) VACCINE, DNA, SPIKE PROTEIN, CHIMPANZEE ADENOVIRUS OXFORD 1 (CHADOX1) VECTOR, PRESERVATIVE FREE, 5X1010 VIRAL PARTICLES/0.5ML DOSAGE; SECOND DOSE"
0022U,"DNA AND RNA TARGETED SEQUENCING ANALYSIS OF 1-23 GENES ASSOCIATED WITH NON-SMALL CELL LUNG CANCER, REPORTED AS PRESENCE/ABSENCE OF VARIANTS AND ASSOCIATED THERAPIES TO CONSIDER"
0023A,"ADMINISTRATION OF CORONAVIRUS VACCINE 3, BOOSTER"
0023U,DNA GENE ANALYSIS FOR ACUTE MYELOGENOUS LEUKEMIA
0024A,"ADMINISTRATION OF CORONAVIRUS VACCINE 3, RESERVED"
0024U,MEASUREMENT OF GLYCOSYLATED ACUTE PHASE PROTEINS
0025A,"ADMINISTRATION OF CORONAVIRUS VACCINE 3, RESERVED"
0025U,MEASUREMENT OF TENOVIR IN URINE
0026A,"ADMINISTRATION OF CORONAVIRUS VACCINE 3, RESERVED"
0026U,DNA AND MICRORNA GENE ANALYSIS OF THYROID NODULE TISSUE
0027A,"ADMINISTRATION OF CORONAVIRUS VACCINE 3, RESERVED"
0027U,GENE ANALYSIS (JANUS KINASE 2) OF TARGETED SEQUENCE EXONS 12-15
0028A,"ADMINISTRATION OF CORONAVIRUS VACCINE 3, RESERVED"
0028U,"GENE ANALYSIS (CYTOCHROME P450, FAMILY 2, SUBFAMILY D, POLYPEPTIDE 6) FOR COPY NUMBER VARIANTS AND COMMON VARIANTS WITH FOLLOW-UP TARGETED SEQUENCE ANALYSIS"
0029A,"ADMINISTRATION OF CORONAVIRUS VACCINE 3, RESERVED"
0029U,GENE ANALYSIS OF TARGETED SEQUENCES FOR ADVERSE DRUG REACTIONS AND DRUG RESPONSE
00300,"ANESTHESIA FOR OTHER PROCEDURE ON SKIN, MUSCLES, OR NERVES OF HEAD, NECK, AND UPPER BACK"
0030A,"ADMINISTRATION OF CORONAVIRUS VACCINE 4, RESERVED"
0030U,GENE ANALYSIS OF TARGETED SEQUENCES FOR WARFARIN DRUG RESPONSE
0031A,"INTRAMUSCULAR ADMINISTRATION OF SINGLE SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2 (COVID-19) VACCINE, DNA, SPIKE PROTEIN, ADENOVIRUS TYPE 26 (AD26) VECTOR, PRESERVATIVE FREE, 5X1010 VIRAL PARTICLES/0.5ML DOSAGE; SINGLE DOSE"
0031U,"GENE ANALYSIS (CYTOCHROME P450 FAMILY 1, SUBFAMILY A, MEMBER 2) FOR COMMON VARIANTS"
00320,ANESTHESIA FOR OTHER PROCEDURE ON NECK AREA (1 YEAR OR OLDER)
00322,ANESTHESIA FOR NEEDLE BIOPSY OF THYROID
00326,ANESTHESIA FOR OTHER PROCEDURE ON NECK AREA (YOUNGER THAN 1 YEAR)
0032A,"ADMINISTRATION OF CORONAVIRUS VACCINE 4, DOSE 2"
0032U,GENE ANALYSIS (CATECHOL-O-METHYLTRANSFERASE) FOR C.472G>A (RS4680) VARIANT
0033A,"ADMINISTRATION OF CORONAVIRUS VACCINE 4, BOOSTER"
0033U,GENE ANALYSIS (5-HYDROXYTRYPTAMINE RECEPTOR 2A) FOR COMMON VARIANTS
0034A,"INTRAMUSCULAR ADMINISTRATION OF SINGLE SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2 (COVID-19) VACCINE, DNA, SPIKE PROTEIN, ADENOVIRUS TYPE 26 (AD26) VECTOR, PRESERVATIVE FREE, 5X1010 VIRAL PARTICLES/0.5ML DOSAGE; BOOSTER DOSE"
0034U,GENE ANALYSIS (THIOPURINE S-METHYLTRANSFERASE) FOR COMMON VARIANTS
00350,ANESTHESIA FOR OTHER PROCEDURE ON LARGE BLOOD VESSEL OF NECK
00352,ANESTHESIA FOR TYING LARGE BLOOD VESSELS OF NECK
0035A,"ADMINISTRATION OF CORONAVIRUS VACCINE 4, RESERVED"
0035U,TESTING FOR PRESENCE OF PRION PROTEIN IN CEREBROSPINAL FLUID
0036A,"ADMINISTRATION OF CORONAVIRUS VACCINE 4, RESERVED"
0036U,EXOME GENE ANALYSIS FOR SOMATIC MUTATION IN TUMOR TISSUE
0037A,"ADMINISTRATION OF CORONAVIRUS VACCINE 4, RESERVED"
0037U,DNA GENE ANALYSIS OF 324 GENES IN SOLID ORGAN TUMOR TISSUE
0038A,"ADMINISTRATION OF CORONAVIRUS VACCINE 4, RESERVED"
0038U,MEASUREMENT OF VITAMIN D IN SERUM
0039A,"ADMINISTRATION OF CORONAVIRUS VACCINE 4, RESERVED"
0039U,TESTING FOR ANTI-DNA ANTIBODY
00400,"ANESTHESIA FOR OTHER PROCEDURE ON SKIN OF ARMS, LEGS, AND FRONT BODY"
00402,ANESTHESIA FOR RECONSTRUCTION OF BREAST
00404,ANESTHESIA FOR REMOVAL OF ALL OR PART OF BREAST
00406,ANESTHESIA FOR REMOVAL OF BREAST AND LYMPH NODES
0040A,"ADMINISTRATION OF CORONAVIRUS VACCINE 5, RESERVED"
0040U,GENE ANALYSIS (T(9;22)) FOR TRANSLOCATION ANALYSIS
00410,ANESTHESIA FOR PROCEDURE TO CORRECT ABNORMAL HEART RHYTHM
0041A,"INTRAMUSCULAR ADMINISTRATION OF SINGLE SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2 (COVID-19) VACCINE, RECOMBINANT SPIKE PROTEIN NANOPARTICLE, SAPONIN-BASED ADJUVANT, PRESERVATIVE FREE, 5 MCG/0.5ML DOSAGE; FIRST DOSE"
0041U,IGM ANTIBODY DETECTION TEST FOR BORRELIA BURGDORFERI
0042A,"INTRAMUSCULAR ADMINISTRATION OF SINGLE SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2 (COVID-19) VACCINE, RECOMBINANT SPIKE PROTEIN NANOPARTICLE, SAPONIN-BASED ADJUVANT, PRESERVATIVE FREE, 5 MCG/0.5ML DOSAGE; SECOND DOSE"
0042T,"COMPUTED TOMOGRAPHY (CT) OF BRAIN BLOOD FLOW, VOLUME, AND TIMING OF FLOW ANALYSIS WITH CONTRAST"
0042U,IGG ANTIBODY DETECTION TEST FOR BORRELIA BURGDORFERI
0043A,"ADMINISTRATION OF CORONAVIRUS VACCINE 5, BOOSTER"
0043U,IGM ANTIBODY DETECTION TEST FOR TICK-BORNE RELAPSING FEVER BORRELIA GROUP (IGM)
0044A,"INTRAMUSCULAR ADMINISTRATION OF SINGLE SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2 (COVID-19) VACCINE, RECOMBINANT SPIKE PROTEIN NANOPARTICLE, SAPONIN-BASED ADJUVANT, PRESERVATIVE FREE, 5 MCG/0.5 ML DOSAGE; BOOSTER DOSE"
0044U,IGM ANTIBODY DETECTION TEST FOR TICK-BORNE RELAPSING FEVER BORRELIA GROUP (IGG)
00450,ANESTHESIA FOR OTHER PROCEDURE ON COLLAR BONE AND SHOULDER BLADE
00452,ANESTHESIA FOR SURGERY OF COLLAR BONE AND SHOULDER BLADE
00454,ANESTHESIA FOR BIOPSY OF COLLAR BONE
0045A,"ADMINISTRATION OF CORONAVIRUS VACCINE 5, RESERVED"
0045U,MRNA GENE ANALYSIS OF 12 GENES IN BREAST DUCTAL CARCINOMA IN SITU TUMOR TISSUE
0046A,"ADMINISTRATION OF CORONAVIRUS VACCINE 5, RESERVED"
0046U,GENE ANALYSIS (FMS-RELATED TYROSINE KINASE 3) FOR INTERNAL TANDEM DUPLICATION VARIANTS
00470,ANESTHESIA FOR OTHER PARTIAL REMOVAL OF RIB
00472,ANESTHESIA FOR PARTIAL REMOVAL OF RIB AND CHEST WALL REPAIR
00474,ANESTHESIA FOR EXTENSIVE PARTIAL REMOVAL OF RIB
0047A,"ADMINISTRATION OF CORONAVIRUS VACCINE 5, RESERVED"
0047U,MRNA GENE ANALYSIS OF 17 GENES IN PROSTATE TUMOR TISSUE
0048A,"ADMINISTRATION OF CORONAVIRUS VACCINE 5, RESERVED"
0048U,DNA GENE ANALYSIS OF 468 GENES IN SOLID ORGAN TUMOR TISSUE
0049A,"ADMINISTRATION OF CORONAVIRUS VACCINE 5, RESERVED"
0049U,GENE ANALYSIS (NUCLEOPHOSMIN)
00500,ANESTHESIA FOR PROCEDURE ON ESOPHAGUS
0050A,"ADMINISTRATION OF CORONAVIRUS VACCINE 6, RESERVED"
0050U,DNA GENE ANALYSIS OF TARGETED SEQUENCES IN 194 GENES FOR ACUTE MYELOGENOUS LEUKEMIA
0051A,"INTRAMUSCULAR ADMINISTRATION OF SINGLE SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2 (COVID-19) VACCINE, MRNA-LNP, SPIKE PROTEIN, PRESERVATIVE FREE, 30 MCG/0.3ML DOSAGE, TRIS-SUCROSE FORMULATION; FIRST DOSE"
0051T,IMPLANTATION OF AN ARTIFICIAL HEART
0051U,TESTING FOR PRESENCE OF 31 PRESCRIPTION DRUGS IN URINE OR BLOOD SPECIMEN
00520,ANESTHESIA FOR OTHER CLOSED PROCEDURE ON CHEST
00522,ANESTHESIA FOR CLOSED NEEDLE BIOPSY OF LUNG
00524,ANESTHESIA FOR CLOSED DRAINAGE OF LUNG FLUID
00528,ANESTHESIA FOR CLOSED EXAM OF CHEST USING AN ENDOSCOPE
00529,ANESTHESIA FOR CLOSED EXAM OF CHEST USING AN ENDOSCOPE WITH 1 LUNG INFLATED
0052A,"INTRAMUSCULAR ADMINISTRATION OF SINGLE SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2 (COVID-19) VACCINE, MRNA-LNP, SPIKE PROTEIN, PRESERVATIVE FREE, 30 MCG/0.3ML DOSAGE, TRIS-SUCROSE FORMULATION; SECOND DOSE"
0052T,REPLACEMENT OR REPAIR OF ARTIFICIAL HEART
0052U,MEASUREMENT OF ALL FIVE MAJOR LIPOPROTEIN CLASSES AND SUBCLASSES IN BLOOD
00530,ANESTHESIA FOR INSERTION OF PERMANENT HEART PACEMAKER
00532,ANESTHESIA FOR ACCESS TO CENTRAL VEIN
00534,ANESTHESIA FOR INSERTION OR REPLACE OF PACING HEART DEFIBRILLATOR
00537,ANESTHESIA FOR PROCEDURE TO ASSESS HEART ELECTRICAL ACTIVITY
00539,ANESTHESIA FOR RECONSTRUCTION OF AIRWAY
0053A,"INTRAMUSCULAR ADMINISTRATION OF SINGLE SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2 (COVID-19) VACCINE, MRNA-LNP, SPIKE PROTEIN, PRESERVATIVE FREE, 30 MCG/0.3ML DOSAGE, TRIS-SUCROSE FORMULATION; THIRD DOSE"
0053T,REPLACEMENT OR REPAIR OF ARTIFICIAL HEART COMPONENT
0053U,FISH ANALYSIS OF 4 GENES IN PROSTATE NEEDLE BIOPSY SPECIMEN
00540,ANESTHESIA FOR OTHER PROCEDURE ON CHEST
00541,ANESTHESIA FOR PROCEDURE ON CHEST WITH 1 LUNG INFLATED
00542,ANESTHESIA FOR REMOVAL OF TISSUE FROM AROUND LUNG
00546,ANESTHESIA FOR REMOVAL OF LUNG WITH CHEST WALL REPAIR
00548,ANESTHESIA FOR PROCEDURE ON AIRWAY
0054A,"INTRAMUSCULAR ADMINISTRATION OF SINGLE SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2 (COVID-19) VACCINE, MRNA-LNP, SPIKE PROTEIN, PRESERVATIVE FREE, 30 MCG/0.3ML DOSAGE, TRIS-SUCROSE FORMULATION; BOOSTER DOSE"
0054T,"COMPUTER-ASSISTED, FLUOROSCOPIC IMAGE-GUIDED MUSCULOSKELETAL SURGICAL NAVIGATIONAL ORTHOPEDIC OPERATION"
0054U,MEASUREMENT OF 14 OR MORE DRUG CLASSES IN CAPILLARY BLOOD
00550,ANESTHESIA FOR REMOVAL OF BREAST BONE TISSUE
0055A,"ADMINISTRATION OF CORONAVIRUS VACCINE 6, RESERVED"
0055T,MUSCULOSKELETAL SURGICAL NAVIGATIONAL ORTHOPEDIC OPERATION USING IMAGING GUIDANCE
0055U,DNA GENE ANALYSIS OF 96 TARGET SEQUENCES IN PLASMA FOR HEART TRANSPLANT
00560,ANESTHESIA FOR PROCEDURE ON HEART AND LARGE BLOOD VESSELS
00561,ANESTHESIA FOR PROCEDURE ON HEART AND LARGE BLOOD VESSELS USING HEART-LUNG MACHINE (YOUNGER THAN 1 YEAR)
00562,ANESTHESIA FOR PROCEDURE ON HEART AND LARGE BLOOD VESSELS USING HEART-LUNG MACHINE (1 YEAR OR OLDER)
00563,ANESTHESIA FOR PROCEDURE ON HEART AND LARGE BLOOD VESSELS USING HEART-LUNG MACHINE AND STOPPING BLOOD FLOW
00566,ANESTHESIA FOR HEART ARTERY BYPASS GRAFTING
00567,ANESTHESIA FOR HEART ARTERY BYPASS GRAFTING ON HEART-LUNG MACHINE
0056A,"ADMINISTRATION OF CORONAVIRUS VACCINE 6, RESERVED"
0056U,WHOLE GENOME SEQUENCING IN BLOOD OR BONE MARROW FOR ACUTE MYELOGENOUS LEUKEMIA
0057A,"ADMINISTRATION OF CORONAVIRUS VACCINE 6, RESERVED"
0057U,MRNA GENE ANALYSIS OF 51 GENES IN SOLID ORGAN TUMOR TISSUE
00580,ANESTHESIA FOR HEART OR HEART-LUNG TRANSPLANT
